,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20
revenue_ps,0.13746764795939692,0.4319226728214499,-0.05503938128496257,-0.0761114779987034,-0.1899009641550736,0.23579554458718086,-0.12044882735987233,0.18734202928705035,0.15517897018584464,0.057428325576738666,-0.07365291035752575,0.029801279282401234,0.04083513476764824,-0.2224926840640662,-0.09214220248218169,0.18424869496122506,-0.14735874452254352,-0.10853893492936874,0.1488332899472427,0.04686920459065073
extra_item,0.1165498596588811,0.3085807080394858,0.011101203449529959,0.016768785448531692,0.03010644980224647,-0.21544024640313025,-0.11147737458080942,0.10057736774819517,-0.40953283113711564,-0.007343878746231006,-0.15881242326011882,0.3895527862479284,0.10085564657289996,0.2460569159858186,0.20622372369929465,-0.25701037238351415,-0.12010836560723402,-0.4729004939123366,-0.020072069077983923,0.18216009110626669
ar_turn,0.053344328136383484,0.12670472203889813,0.0875489802121577,0.17627100703309892,-0.13871680414679452,0.10196908248057647,-0.3575866084732778,-0.26120857850635754,0.02701969954147225,-0.21264457317102078,0.45532726334872736,-0.20128313989451227,-0.38027409136410306,-0.12257891970967748,0.3620051943061525,-0.25704845286633765,0.17196132411359716,-0.12223685012081516,0.0838769683218624,0.06402120342426675
ca_turn,0.09636476583084388,0.20708498935677466,0.2703585916013841,0.15257012815104373,-0.2536738735116708,0.3160896209252108,-0.28837828007407745,-0.14445153534784222,0.06904084957454651,0.020093576728873443,-0.006012288572110782,0.12933437361673372,0.10687731589991653,-0.06188408085391935,-0.3132753647953433,-0.010775338430807949,-0.25490661857564506,0.05813619449765091,-0.17974351381586226,-0.05587893893629652
fa_turn,0.0037934843452087177,0.12186591469362688,-0.06344333211996693,-0.16958498831748456,0.10195978204830974,0.36131435088564734,-0.255325339000158,-0.1619745850052743,0.115358443885346,0.3491547664857681,0.0033335806552660893,-0.14628421559008686,0.4011051885041672,0.43995571252135784,0.35543301952155487,0.10101624963657148,0.08553728442644706,0.11462859673092718,-0.021014199831609688,0.03132094277502652
op_income,0.12675277350377553,0.3471366848463022,-0.00010389082052379574,0.18203699923638503,0.09495558049683607,-0.09375923998504046,-0.06848573422705276,0.1526293137861907,-0.3370517545087495,-0.16469265982348055,-0.014915386594108848,-0.00450937279155982,-0.16967010512114214,0.2573497219625111,0.02569953278736397,0.1328815776628318,0.14786157442758668,0.5935677016328836,-0.19781320176008177,-0.21117653717741725
working_capital,0.07233424378791108,0.3107065448323118,-0.2996444904622435,-0.056199658274854646,0.24365254787664475,-0.2798758619041676,-0.022742139734613663,-0.29569840624785065,0.06719475654046443,-0.03705802044303173,0.05577690688575695,0.03592644106118956,0.0028113630866068128,-0.05921315802477026,-0.027493748852766536,0.055015182654298396,-0.03413156297408032,0.022429215610801283,-0.11520049349742453,-0.008522892514128924
networking_capital,0.04315554456865729,0.29923876547525613,-0.19775306582225124,-0.13205496150095225,0.23782136065198847,-0.29047079409409743,-0.006563667929836098,-0.33249133930444347,0.2404213151689171,0.032555201614127866,0.13214500644036223,-0.026503845748046692,0.09535486913848402,-0.17028287547554447,-0.21472202112133187,-0.1054446621027532,-0.13037295582595274,0.03885512888066975,-0.03534418942285868,-0.04539163839905216
bps,0.11958319842988115,0.24136055612510343,-0.28535173193159685,0.03222354928867909,-0.25410898470962506,-0.060114037498426406,0.1221228950535774,0.37672920853948555,0.11460021289294123,-0.008940534778583607,-0.017590067329293763,-0.13317538023525863,-0.12007745377898085,-0.172141721870152,0.2993721234523932,0.3672285645271347,-0.019720898285239315,-0.05999560152951775,0.07714117094061167,0.12271971251446741
cfps,0.08220113062579854,0.04914030233524629,0.11610111771603945,0.19998312752000455,0.21383507035793353,0.25558673117791486,0.36307669559076206,-0.24441282360099245,-0.1326616852841933,-0.14904754069463255,-0.1638115648400233,0.06672843918204291,0.1593048817337875,-0.3532906561583998,0.426396086047114,0.011099223968839549,-0.3528500723383085,0.1723607755918824,0.1164007157473154,-0.09985780360574545
fcff_ps,0.036488105160287526,-0.13443910317583996,-0.0771907846138219,0.2898422352242706,0.38710980124845756,0.20898223934935417,-0.1372227255662141,-0.23374064619578103,-0.19746681831257365,-0.09705190160502188,-0.09496516562033509,0.07896212830379079,-0.12392249702007117,0.015734462950438843,-0.15000721677000697,0.4118819984109603,0.12264036246356555,-0.16607749561851054,0.21965754322089706,0.31165081857742677
roe,0.2728131240224546,0.09106259830170874,-0.20948943659557134,0.2352887882012384,-0.16269107382319573,0.09206828467914828,0.05017782729080879,-0.04242878837614316,-0.08092650106592891,0.02560386120687287,-0.17850497829598516,-0.08889529284867013,0.013168299972403671,0.11642294827542042,-0.35249855623772053,-0.2565673652439848,0.18259662411366306,0.13118118288050074,0.5151169751163388,-0.02848522693513757
debt_to_assets,-0.03523605018147042,0.2638333532156801,0.431053595734614,-0.18246691446000324,0.2286325211685294,0.0637172736690626,0.06007841001326333,0.10007213293671083,0.028799369848278734,0.015213537762173112,0.05618215500446948,-0.010538469577970964,0.007709650367033906,-0.07559939043087403,-0.18942939757579375,-0.025248934536513803,0.10029686089076187,-0.061176766525590134,0.2375198654919495,0.05985736678695754
assets_to_eqt,-0.04619373831114443,0.19625792869533024,0.3657642307561316,-0.1533440256485315,0.3511402145838764,0.05250676460014627,0.07737776450648803,0.2559293502695105,-0.06937555265817111,-0.024678986391772854,0.21714718955340326,-0.09591559004742431,-0.036891270351564864,-0.04718427467406602,-0.06037961942558482,0.1603384986659644,0.1906433006612449,-0.10987240514825614,0.011094484929054878,-0.12080698018819931
ca_to_assets,0.016188464642454065,0.008415006960012286,-0.40003862812067,-0.28558364525201724,0.2511351140711868,0.26113082703718943,0.02363160249078696,0.06524524508984748,-0.02562438832583134,0.01414339933030561,-0.011970314527475639,-0.11111904363380082,-0.1023694274230749,-0.023368249660348853,0.003024714665137947,-0.08067228338663542,0.15126651661796617,-0.09800585312835003,0.12147102512950148,-0.044501099178251596
currentdebt_to_debt,-0.01190391151666273,-0.07071277200012091,-0.2768203640192726,-0.2011375412623105,0.1506653236467895,0.42380968312667994,-0.13683305648209984,0.17595272715090116,-0.21298047101562298,-0.11692063517209048,-0.03829543819984705,0.009685117357522283,-0.26687618723734313,-0.09497850357387509,-0.15632839140901644,-0.20185969177329377,-0.2595520619616611,-0.0586128908080921,-0.3342898098747234,-0.15509405338967644
ocf_to_shortdebt,0.1375372421240995,-0.03450028017686942,-0.08650844577645678,0.490738900466856,0.07714244376058844,0.0003543866647009474,0.009174875781502735,0.033005783687927066,0.11980959683212125,0.06840423038738033,0.10578089185184869,-0.08602852016609994,0.14079749264895186,0.043132848406605966,-0.11362699477105413,0.2647625950378452,0.0908531965852398,-0.4099800715284815,-0.31476018786848997,-0.3540325497426569
tangasset_to_intdebt,-0.00148524069976496,-0.11945574086582639,-0.21848322608806015,0.09028346393925935,0.016790907533588945,0.04928992629733955,-0.024982771882233617,0.25660658574709755,-0.18960045885066917,-0.10825981976692246,0.6575855312478069,0.23171208477233982,0.4956964177610192,-0.12361522737245903,-0.06737668578554469,-0.05646179777775899,-0.03851034585850414,0.14101958254037314,0.14339152328761484,0.06838776169338934
q_ocf_to_sales,0.08431667704159088,0.03025393748727309,0.046374064578251925,0.33223177582794183,0.2834603453419484,-0.03570183182405555,0.12841336630423092,0.27252094040216274,0.12345737413945297,0.1838229954579845,0.07094035642541856,-0.4745916973099688,-0.047437991594687104,0.2066574345646908,-0.014503159914174958,-0.3290264197428286,-0.401018357219644,-0.015546566239476495,0.012849003423119723,0.1925407332548238
op_yoy,0.4440457872176797,-0.15389603679680736,0.08674238941602232,-0.1422393943298808,0.0483734763255284,-0.06966074428143029,-0.0821209014803128,0.01904391586158755,0.016986728155846714,-0.04134824317484753,-0.023900849947071843,-0.04051449996491593,0.05435459998027006,-0.028267918587528994,0.07759016477935016,-0.013134870659109522,0.005044199332906866,-0.05582889668034771,0.0721858324097584,-0.26011589614088865
ebt_yoy,0.44748567168293757,-0.15648747773205818,0.08256460393312268,-0.14395635815867483,0.04535880453022837,-0.06856229552710721,-0.07809207509835345,0.023928044819457914,0.010735921581967199,-0.04567230783245469,-0.028141307919364575,-0.03954953991840114,0.048532529401965445,-0.03298019824323957,0.07674223219493449,-0.022720487983700723,0.009395313760287736,-0.05458501024732098,0.07840116903504953,-0.2667851357945133
netprofit_yoy,0.44258099291039765,-0.1565000044631756,0.07037113897631017,-0.13208691652601412,0.04116002302017316,-0.059659624078149516,-0.07405832930806194,0.016089254121343318,0.010499985524191017,-0.04293348861181478,-0.011731988626904492,0.011214477964705826,0.03321420652528988,-0.015894383756175273,0.030682182408025047,-0.0038955926479574583,0.011435802844768505,-0.0034891451862883536,0.010924652485866975,-0.004911612722460996
dt_netprofit_yoy,0.3825270928161976,-0.13069981720732357,0.06734088227308965,-0.10225152127282407,0.04344112511082591,-0.02058353489154663,-0.044980094405527936,0.028828490498498786,0.08624144573010348,-0.10373347791540803,0.02979545994620988,-0.022484740319100083,-0.006146590100785021,-0.029282540390772722,-0.08958330365845105,0.12003205281858172,-0.03284608368858405,0.17694616545023148,-0.3137096334947699,0.6430218225849955
ocf_yoy,0.07698216829760604,-0.03220117746233511,-0.019728357994052665,0.21210073246606231,0.24090411315453222,0.09331495720356764,-0.021232349554291426,0.2003101228046832,0.47328719653160733,0.26101955825279377,-0.015224524261405293,0.6086369523790495,-0.2467689584516634,-0.0427267468124355,0.13957290098520472,-0.19217366011060025,0.17324387267824498,0.1573222904455301,-0.0029418001824124155,-0.015470317786243441
assets_yoy,0.16058768651371255,0.17068678316333855,-0.004787720200266779,0.011725677970647292,-0.13479472921660196,0.25874904579061514,0.5384680773145424,-0.12328128408120831,-0.015914959004399376,-0.0651653355248823,0.016894363971989033,-0.032440406160417906,0.13683108702089875,-0.025358902640012067,-0.02817930575776985,-0.25318633844454175,0.45787705935712003,-0.1167915317045573,-0.34363953270948305,0.1316176649361069
q_sales_yoy,0.14156991989935375,0.010527704253410486,0.0044869179316800005,-0.15642121338179768,-0.14105110744253338,0.11573814756161509,0.40560118502434295,-0.19366525052694417,0.05463577883243265,0.0019045777378251796,0.38203213577544287,0.21505600208109224,-0.3273990440323706,0.48622284668096816,-0.0672374082196555,0.21819299680768212,-0.3161697021952549,-0.06992145688260847,0.12882282320622332,-0.07101708285372357
q_op_qoq,0.1191940800557071,-0.03476541688756809,0.023254351191445106,-0.007490697463315709,-0.07402010963829457,-0.06024187609872795,0.046568487770552766,-0.1152635704884869,-0.4298921280188657,0.783268080405026,0.15410198879173417,-0.026866335065536838,-0.18400612063792698,-0.302194007550445,-0.02081991588965035,0.04946454007792597,0.023185554378886367,0.054079270024335505,-0.059069926359340476,0.021898263697981236
